,Nb sommets,Nb aretes,Time_limit,Statut_exp,Statut_CP,Statut_CPM,Statut_Martin,Statut_cycle,Objectif_exp,Objectif_CP,Objectif_CPM,Objectif_Martin,Objectif_cycle,Ecriture_exp,Ecriture_CP,Ecriture_CPM,Ecriture_Martin,Ecriture_cycle,Resolution_exp,Resolution_CP,Resolution_CPM,Resolution_Martin,Resolution_cycle
Spd_RF2_450_515_4859,450,515,1085,,1,,,1.0,,108,,,116.0,,0.10153794288635254,,,6.0,,16.002633094787598,,,4.049015998840332
Spd_RF2_450_515_4867,450,515,1085,,1,,,1.0,,106,,,116.0,,0.10351729393005371,,,5.0,,37.41998243331909,,,3.6716694831848145
Spd_RF2_450_515_4875,450,515,1085,,1,,,1.0,,109,,,113.0,,0.11376357078552246,,,6.0,,22.014408588409424,,,3.9555275440216064
Spd_RF2_450_515_4883,450,515,1085,,1,,,1.0,,106,,,113.0,,0.13423967361450195,,,11.0,,116.11201620101929,,,3.953965425491333
Spd_RF2_450_548_4891,450,548,1118,,1,,,1.0,,92,,,105.0,,0.11209487915039062,,,13.0,,34.89572024345398,,,6.736887693405151
Spd_RF2_450_548_4899,450,548,1118,,1,,,1.0,,88,,,100.0,,0.10753607749938965,,,18.0,,24.62277913093567,,,8.943650007247925
Spd_RF2_450_548_4907,450,548,1118,,1,,,1.0,,90,,,100.0,,0.10111474990844727,,,12.0,,162.02520394325256,,,7.119227647781372
Spd_RF2_450_548_4915,450,548,1118,,1,,,1.0,,88,,,98.0,,0.10483694076538086,,,19.0,,34.64283299446106,,,7.369641065597534
Spd_RF2_450_548_4923,450,548,1118,,1,,,1.0,,93,,,109.0,,0.11580824851989746,,,19.0,,197.13563013076782,,,6.228161096572876
Spd_RF2_450_581_4931,450,581,1151,,1,,,1.0,,77,,,90.0,,0.1055138111114502,,,9.0,,41.125571966171265,,,7.755560874938965
Spd_RF2_450_581_4939,450,581,1151,,1,,,1.0,,76,,,92.0,,0.1407454013824463,,,18.0,,89.92138290405273,,,7.119216680526733
